     Angle(deg)           0.00 m/s           3.45 m/s           6.90 m/s          10.34 m/s          13.79 m/s          17.24 m/s          20.69 m/s          24.14 m/s          27.59 m/s          31.03 m/s          34.48 m/s          37.93 m/s          41.38 m/s          44.83 m/s          48.28 m/s          51.72 m/s          55.17 m/s          58.62 m/s          62.07 m/s          65.52 m/s          68.97 m/s          72.41 m/s          75.86 m/s          79.31 m/s          82.76 m/s          86.21 m/s          89.66 m/s          93.10 m/s          96.55 m/s         100.00 m/s
           65.7 deg          0.000          0.908          3.633          8.175         14.534         22.709         32.701         44.509         58.135         73.577         90.835        109.911        130.803        153.512        178.038        204.380        232.539        262.514        294.307        327.916        363.342        400.584        439.644        480.520        523.212        567.722        614.048        662.191        712.150        763.926
           66.7 deg          0.000          0.879          3.518          7.915         14.071         21.987         31.661         43.094         56.286         71.237         87.947        106.415        126.643        148.630        172.375        197.880        225.143        254.166        284.947        317.487        351.787        387.845        425.662        465.238        506.573        549.666        594.519        641.131        689.502        739.631
           67.8 deg          0.000          0.849          3.398          7.645         13.592         21.237         30.581         41.625         54.367         68.808         84.948        102.787        122.325        143.563        166.499        191.134        217.467        245.500        275.232        306.663        339.793        374.622        411.149        449.376        489.302        530.926        574.250        619.273        665.994        714.415
           68.8 deg          0.000          0.818          3.274          7.366         13.095         20.461         29.464         40.104         52.380         66.294         81.844         99.031        117.855        138.316        160.414        184.149        209.521        236.529        265.175        295.457        327.376        360.932        396.125        432.955        471.421        511.525        553.265        596.643        641.657        688.308
           69.8 deg          0.000          0.786          3.146          7.077         12.582         19.659         28.310         38.533         50.328         63.697         78.638         95.152        113.238        132.898        154.130        176.935        201.313        227.263        254.786        283.882        314.551        346.793        380.607        415.994        452.954        491.486        531.591        573.270        616.520        661.344
           70.8 deg          0.000          0.753          3.013          6.780         12.053         18.833         27.120         36.913         48.214         61.020         75.334         91.154        108.480        127.314        147.654        169.501        192.854        217.714        244.081        271.954        301.334        332.221        364.615        398.515        433.922        470.835        509.255        549.182        590.616        633.556
           71.8 deg          0.000          0.719          2.877          6.474         11.510         17.984         25.897         35.248         46.039         58.268         71.936         87.042        103.587        121.571        140.994        161.855        184.155        207.894        233.071        259.687        287.742        317.236        348.168        380.539        414.349        449.597        486.285        524.410        563.975        604.978
           72.8 deg          0.000          0.684          2.738          6.160         10.952         17.112         24.641         33.539         43.807         55.443         68.448         82.822         98.565        115.677        134.158        154.008        175.227        197.815        221.771        247.097        273.792        301.855        331.288        362.090        394.260        427.800        462.708        498.985        536.632        575.647
           73.8 deg          0.000          0.649          2.595          5.839         10.380         16.219         23.355         31.789         41.520         52.549         64.875         78.499         93.420        109.639        127.155        145.969        166.080        187.489        210.195        234.199        259.500        286.099        313.995        343.189        373.680        405.469        438.555        472.939        508.620        545.599
           74.8 deg          0.000          0.612          2.449          5.510          9.795         15.305         22.040         29.998         39.182         49.589         61.221         74.078         88.159        103.464        119.994        137.748        156.726        176.929        198.357        221.009        244.885        269.986        296.311        323.860        352.634        382.633        413.856        446.303        479.975        514.871
           75.8 deg          0.000          0.575          2.300          5.174          9.199         14.373         20.697         28.171         36.794         46.568         57.491         69.564         82.787         97.160        112.683        129.355        147.178        166.150        186.272        207.543        229.965        253.536        278.257        304.129        331.149        359.320        388.641        419.111        450.731        483.501
           76.9 deg          0.000          0.537          2.148          4.832          8.590         13.422         19.328         26.308         34.361         43.489         53.690         64.964         77.313         90.735        105.232        120.802        137.445        155.163        173.954        193.819        214.758        236.771        259.857        284.018        309.252        335.560        362.941        391.397        420.926        451.529
           77.9 deg          0.000          0.498          1.993          4.484          7.971         12.455         17.936         24.412         31.885         40.355         49.821         60.283         71.742         84.198         97.649        112.097        127.542        143.983        161.420        179.854        199.284        219.711        241.134        263.553        286.969        311.381        336.790        363.195        390.597        418.995
           78.9 deg          0.000          0.459          1.836          4.130          7.342         11.473         16.521         22.486         29.370         37.171         45.890         55.527         66.082         77.555         89.945        103.253        117.479        132.623        148.685        165.664        183.562        202.377        222.110        242.760        264.329        286.815        310.219        334.541        359.781        385.938
           79.9 deg          0.000          0.419          1.676          3.771          6.704         10.476         15.085         20.532         26.818         33.941         41.903         50.702         60.340         70.815         82.129         94.281        107.271        121.099        135.764        151.268        167.610        184.790        202.809        221.665        241.359        261.891        283.262        305.470        328.516        352.401
           80.9 deg          0.000          0.379          1.515          3.408          6.058          9.466         13.631         18.553         24.232         30.669         37.863         45.814         54.522         63.988         74.211         85.191         96.928        109.423        122.675        136.684        151.450        166.974        183.255        200.293        218.089        236.641        255.951        276.018        296.843        318.425
           81.9 deg          0.000          0.338          1.351          3.040          5.404          8.444         12.159         16.550         21.616         27.358         33.775         40.868         48.637         57.080         66.200         75.995         86.465         97.611        109.432        121.929        135.102        148.950        163.473        178.672        194.547        211.096        228.322        246.223        264.799        284.051
           82.9 deg          0.000          0.296          1.186          2.668          4.743          7.412         10.673         14.527         18.974         24.013         29.646         35.872         42.691         50.102         58.107         66.704         75.894         85.677         96.054        107.023        118.585        130.740        143.488        156.828        170.762        185.289        200.408        216.121        232.426        249.324
           83.9 deg          0.000          0.255          1.019          2.293          4.077          6.370          9.173         12.485         16.307         20.639         25.480         30.831         36.691         43.061         49.941         57.330         65.229         73.637         82.555         91.983        101.920        112.367        123.323        134.789        146.765        159.250        172.245        185.749        199.763        214.287
           84.9 deg          0.000          0.213          0.851          1.915          3.405          5.321          7.662         10.428         13.621         17.238         21.282         25.751         30.646         35.967         41.713         47.885         54.482         61.505         68.954         76.828         85.128         93.854        103.005        112.582        122.585        133.013        143.867        155.146        166.851        178.982
           86.0 deg          0.000          0.171          0.682          1.535          2.729          4.264          6.141          8.358         10.917         13.817         17.058         20.640         24.563         28.827         33.433         38.380         43.668         49.297         55.267         61.578         68.231         75.224         82.559         90.235         98.252        106.610        115.310        124.350        133.732        143.455
           87.0 deg          0.000          0.128          0.512          1.153          2.050          3.203          4.612          6.278          8.200         10.378         12.812         15.502         18.449         21.652         25.111         28.827         32.799         37.026         41.511         46.251         51.248         56.501         62.010         67.775         73.797         80.075         86.609         93.399        100.446        107.748
           88.0 deg          0.000          0.086          0.342          0.770          1.368          2.138          3.078          4.190          5.472          6.926          8.550         10.346         12.312         14.450         16.759         19.238         21.889         24.710         27.703         30.866         34.201         37.707         41.383         45.231         49.250         53.439         57.800         62.331         67.034         71.908
           89.0 deg          0.000          0.043          0.171          0.385          0.684          1.069          1.540          2.096          2.738          3.465          4.278          5.176          6.160          7.230          8.385          9.625         10.952         12.363         13.861         15.443         17.112         18.866         20.705         22.630         24.641         26.737         28.919         31.186         33.539         35.978
           90.0 deg          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.001          0.001          0.001          0.001          0.001          0.001          0.001          0.001          0.001          0.002          0.002          0.002          0.002          0.002          0.002          0.003          0.003
